=>Toplam Gelen Araç Sayýsý:18

=>Toplam Giden Araç Sayýsý:21

=>Þerit Bazlý Geçiþler:

  Þerit 1: 12 araç
  Þerit 2: 8 araç
  Þerit 3: 1 araç
  Þerit 5: 5 araç
  Þerit 6: 13 araç

=>Araç Geçiþ Zamanlarý:

ID: 0 | Yön: Gelen | Þerit: 5 | Zaman: 0.80 saniye
ID: 4 | Yön: Gelen | Þerit: 5 | Zaman: 3.08 saniye
ID: 3 | Yön: Gelen | Þerit: 6 | Zaman: 3.24 saniye
ID: 6 | Yön: Gelen | Þerit: 5 | Zaman: 4.72 saniye
ID: 9 | Yön: Gelen | Þerit: 6 | Zaman: 6.12 saniye
ID: 10 | Yön: Giden | Þerit: 2 | Zaman: 6.84 saniye
ID: 11 | Yön: Giden | Þerit: 1 | Zaman: 7.16 saniye
ID: 13 | Yön: Giden | Þerit: 1 | Zaman: 8.60 saniye
ID: 12 | Yön: Gelen | Þerit: 6 | Zaman: 8.92 saniye
ID: 17 | Yön: Giden | Þerit: 2 | Zaman: 13.44 saniye
ID: 21 | Yön: Gelen | Þerit: 5 | Zaman: 14.68 saniye
ID: 19 | Yön: Gelen | Þerit: 6 | Zaman: 14.96 saniye
ID: 22 | Yön: Giden | Þerit: 1 | Zaman: 15.60 saniye
ID: 23 | Yön: Giden | Þerit: 2 | Zaman: 15.72 saniye
ID: 32 | Yön: Giden | Þerit: 1 | Zaman: 18.32 saniye
ID: 27 | Yön: Gelen | Þerit: 6 | Zaman: 18.36 saniye
ID: 31 | Yön: Gelen | Þerit: 6 | Zaman: 19.36 saniye
ID: 33 | Yön: Giden | Þerit: 1 | Zaman: 19.76 saniye
ID: 37 | Yön: Gelen | Þerit: 6 | Zaman: 22.12 saniye
ID: 39 | Yön: Giden | Þerit: 1 | Zaman: 23.16 saniye
ID: 46 | Yön: Giden | Þerit: 2 | Zaman: 24.88 saniye
ID: 48 | Yön: Giden | Þerit: 1 | Zaman: 27.48 saniye
ID: 49 | Yön: Giden | Þerit: 2 | Zaman: 30.20 saniye
ID: 50 | Yön: Giden | Þerit: 3 | Zaman: 30.40 saniye
ID: 51 | Yön: Giden | Þerit: 1 | Zaman: 30.76 saniye
ID: 54 | Yön: Gelen | Þerit: 6 | Zaman: 36.64 saniye
ID: 55 | Yön: Giden | Þerit: 1 | Zaman: 37.88 saniye
ID: 57 | Yön: Gelen | Þerit: 6 | Zaman: 42.32 saniye
ID: 58 | Yön: Giden | Þerit: 1 | Zaman: 43.52 saniye
ID: 59 | Yön: Gelen | Þerit: 6 | Zaman: 45.20 saniye
ID: 61 | Yön: Giden | Þerit: 2 | Zaman: 45.36 saniye
ID: 60 | Yön: Gelen | Þerit: 6 | Zaman: 46.04 saniye
ID: 65 | Yön: Giden | Þerit: 1 | Zaman: 49.84 saniye
ID: 64 | Yön: Gelen | Þerit: 6 | Zaman: 50.60 saniye
ID: 69 | Yön: Giden | Þerit: 2 | Zaman: 51.28 saniye
ID: 68 | Yön: Gelen | Þerit: 5 | Zaman: 51.88 saniye
ID: 75 | Yön: Giden | Þerit: 2 | Zaman: 53.72 saniye
ID: 78 | Yön: Giden | Þerit: 1 | Zaman: 58.80 saniye
ID: 77 | Yön: Gelen | Þerit: 6 | Zaman: 60.08 saniye
